fold,train_start,sel_start,test_start,test_end,seed,universe_mode,survivorship_bias,n_assets,tickers_hash,tickers,status,agent_sharpe,agent_return,agent_dd,agent_vol,error_type,error_message,error_traceback,buy_and_hold_sharpe,buy_and_hold_return,equal_weight_sharpe,equal_weight_return,sp500_sharpe,sp500_return
26,2005-01-03,2014-01-07,2014-07-09,2014-10-06,44,static_current,known,5,4020ad4ff1ee,"AAPL,MSFT,GOOGL,AMZN,NVDA",success,0.6643527289403249,0.021431563761487,-0.0424820868256138,0.1085476554659603,,,,0.3773875999881659,0.0155047675618884,0.4328325332626854,0.0174671886427177,-0.36498890834800896,7.120374529168139e-05
27,2005-01-03,2014-04-08,2014-10-07,2015-01-06,42,static_current,known,5,4020ad4ff1ee,"AAPL,MSFT,GOOGL,AMZN,NVDA",success,0.2441069833746142,0.0112978886229428,-0.0715255853248284,0.1533450260862049,,,,-0.2032335493362401,-0.0083820387404605,-0.2024418116639325,-0.0083233698803129,0.8872885789419768,0.01712638616288853
27,2005-01-03,2014-04-08,2014-10-07,2015-01-06,43,static_current,known,5,4020ad4ff1ee,"AAPL,MSFT,GOOGL,AMZN,NVDA",success,-0.2185337502939346,-0.0066925224373773,-0.0772907797560619,0.1587078669467063,,,,-0.2032335493362401,-0.0083820387404605,-0.2024418116639325,-0.0083233698803129,0.8872885789419768,0.01712638616288853
27,2005-01-03,2014-04-08,2014-10-07,2015-01-06,44,static_current,known,5,4020ad4ff1ee,"AAPL,MSFT,GOOGL,AMZN,NVDA",success,0.0808548554793072,0.0049847501042641,-0.0851994266561969,0.1590451419561603,,,,-0.2032335493362401,-0.0083820387404605,-0.2024418116639325,-0.0083233698803129,0.8872885789419768,0.01712638616288853
28,2005-01-03,2014-07-09,2015-01-07,2015-04-08,42,static_current,known,5,4020ad4ff1ee,"AAPL,MSFT,GOOGL,AMZN,NVDA",success,1.9662789177254711,0.0802885429145765,-0.0448074778158023,0.155761101312547,,,,2.328240669445208,0.1140233826592826,2.2952463687730984,0.1123911883430575,0.7266745612399184,0.009582283838620143
28,2005-01-03,2014-07-09,2015-01-07,2015-04-08,43,static_current,known,5,4020ad4ff1ee,"AAPL,MSFT,GOOGL,AMZN,NVDA",success,1.8490080144552437,0.0753964772782895,-0.0455601106433404,0.1556402988984327,,,,2.328240669445208,0.1140233826592826,2.2952463687730984,0.1123911883430575,0.7266745612399184,0.009582283838620143
28,2005-01-03,2014-07-09,2015-01-07,2015-04-08,44,static_current,known,5,4020ad4ff1ee,"AAPL,MSFT,GOOGL,AMZN,NVDA",success,2.3253577717732057,0.0965447819542273,-0.0431396845082458,0.1579984592643603,,,,2.328240669445208,0.1140233826592826,2.2952463687730984,0.1123911883430575,0.7266745612399184,0.009582283838620143
29,2005-01-03,2014-10-07,2015-04-09,2015-07-08,42,static_current,known,5,4020ad4ff1ee,"AAPL,MSFT,GOOGL,AMZN,NVDA",success,-0.4464037675362745,-0.014318604127068,-0.0589296039503552,0.1507849914536535,,,,0.0257079437689316,0.0021971610323325,0.023814591353702,0.0021175627894096,-0.9969904898743892,-0.026345586395785325
29,2005-01-03,2014-10-07,2015-04-09,2015-07-08,43,static_current,known,5,4020ad4ff1ee,"AAPL,MSFT,GOOGL,AMZN,NVDA",success,-1.0449769115298626,-0.0321554665866203,-0.0673126402912885,0.1372552746384053,,,,0.0257079437689316,0.0021971610323325,0.023814591353702,0.0021175627894096,-0.9969904898743892,-0.026345586395785325
29,2005-01-03,2014-10-07,2015-04-09,2015-07-08,44,static_current,known,5,4020ad4ff1ee,"AAPL,MSFT,GOOGL,AMZN,NVDA",success,-0.1167044552768111,-0.0015797062008059,-0.0563690975255066,0.1415164070447813,,,,0.0257079437689316,0.0021971610323325,0.023814591353702,0.0021175627894096,-0.9969904898743892,-0.026345586395785325
